CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster_Income_Spending,Cluster_Age_Spending
120,Male,27,67,56,0,3
121,Female,38,67,40,0,3
122,Female,40,69,58,0,3
123,Male,39,69,91,1,4
124,Female,23,70,29,3,3
125,Female,31,70,77,1,1
126,Male,43,71,35,0,3
127,Male,40,71,95,1,4
128,Male,59,71,11,3,2
129,Male,38,71,75,1,1
130,Male,47,71,9,3,2
131,Male,39,71,75,1,1
132,Female,25,72,34,0,3
133,Female,31,72,71,1,1
134,Male,20,73,5,3,2
135,Female,29,73,88,1,4
136,Female,44,73,7,3,2
137,Male,32,73,73,1,1
138,Male,19,74,10,3,2
139,Female,35,74,72,1,1
140,Female,57,75,5,3,2
141,Male,32,75,93,1,4
142,Female,28,76,40,0,3
143,Female,32,76,87,1,4
144,Male,25,77,12,3,2
145,Male,28,77,97,1,4
146,Male,48,77,36,3,0
147,Female,32,77,74,1,1
148,Female,34,78,22,3,2
149,Male,34,78,90,1,4
150,Male,43,78,17,3,2
151,Male,39,78,88,1,4
152,Female,44,78,20,3,2
153,Female,38,78,76,1,1
154,Female,47,78,16,3,2
155,Female,27,78,89,1,4
156,Male,37,78,1,3,2
157,Female,30,78,78,1,1
158,Male,34,78,1,3,2
159,Female,30,78,73,1,1
160,Female,56,79,35,3,0
161,Female,29,79,83,1,4
162,Male,19,81,5,3,2
163,Female,31,81,93,1,4
164,Male,50,85,26,3,2
165,Female,36,85,75,1,1
166,Male,42,86,20,3,2
167,Female,33,86,95,1,4
168,Female,36,87,27,3,2
169,Male,32,87,63,1,1
170,Male,40,87,13,3,2
171,Male,28,87,75,1,1
172,Male,36,87,10,3,2
173,Male,36,87,92,1,4
174,Female,52,88,13,3,2
175,Female,30,88,86,1,4
176,Male,58,88,15,3,2
177,Male,27,88,69,1,1
178,Male,59,93,14,3,2
179,Male,35,93,90,1,4
180,Female,37,97,32,3,3
181,Female,32,97,86,1,4
182,Male,46,98,15,3,2
183,Female,29,98,88,1,4
184,Female,41,99,39,3,3
185,Male,30,99,97,1,4
186,Female,54,101,24,3,2
187,Male,28,101,68,1,1
188,Female,41,103,17,3,2
189,Female,36,103,85,1,4
190,Female,34,103,23,3,2
191,Female,32,103,69,1,1
192,Male,33,113,8,3,2
193,Female,38,113,91,1,4
194,Female,47,120,16,3,2
195,Female,35,120,79,1,1
196,Female,45,126,28,3,2
197,Male,32,126,74,1,1
198,Male,32,137,18,3,2
199,Male,30,137,83,1,4
